Date,Open,High,Low,Close,Adj Close,Volume
2022-12-13,233.940002,247.500000,229.070007,234.149994,234.149994,1973700
2022-12-14,231.759995,237.779999,228.699997,230.570007,230.570007,970300
2022-12-15,224.149994,228.649994,219.779999,220.600006,220.600006,1050800
2022-12-16,219.080002,220.369995,209.990005,213.399994,213.399994,1910400
2022-12-19,212.910004,212.910004,208.000000,210.389999,210.389999,725600
2022-12-20,210.179993,214.350006,208.470001,212.460007,212.460007,817500
2022-12-21,216.190002,219.800003,215.160004,217.350006,217.350006,603600
2022-12-22,213.649994,215.979996,207.369995,215.800003,215.800003,814500
2022-12-23,215.130005,216.970001,211.639999,216.850006,216.850006,332600
2022-12-27,216.399994,219.309998,210.330002,216.110001,216.110001,485200
2022-12-28,215.610001,217.809998,212.839996,216.449997,216.449997,480100
2022-12-29,219.529999,236.479996,218.669998,234.630005,234.630005,1031500
2022-12-30,229.850006,235.000000,226.119995,230.139999,230.139999,710100
2023-01-03,232.169998,235.000000,221.649994,225.220001,225.220001,764600
2023-01-04,230.100006,241.630005,228.710007,240.059998,240.059998,854700
2023-01-05,235.710007,237.389999,222.410004,232.589996,232.589996,985200
2023-01-06,237.119995,248.190002,231.429993,245.789993,245.789993,1017500
2023-01-09,247.960007,254.940002,244.529999,249.429993,249.429993,1102900
2023-01-10,246.460007,253.470001,245.199997,252.679993,252.679993,547500
2023-01-11,255.309998,257.519989,251.300003,254.990005,254.990005,745700
2023-01-12,259.190002,261.260010,250.479996,253.820007,253.820007,843400
2023-01-13,248.059998,255.649994,243.169998,252.729996,252.729996,1100300
2023-01-17,254.080002,261.450012,249.190002,259.989990,259.989990,898400
2023-01-18,258.959991,265.290009,251.550003,251.979996,251.979996,997500
2023-01-19,246.050003,254.899994,242.529999,250.039993,250.039993,1576600
2023-01-20,286.660004,305.679993,274.309998,291.440002,291.440002,3090800
2023-01-23,294.730011,305.489990,290.109985,298.690002,298.690002,1810300
2023-01-24,294.640015,298.959991,288.279999,288.350006,288.350006,1053900
2023-01-25,282.899994,295.329987,278.850006,294.760010,294.760010,833700
2023-01-26,300.000000,301.989990,291.779999,295.619995,295.619995,666700
2023-01-27,293.630005,305.119995,292.480011,302.440002,302.440002,664900
2023-01-30,295.920013,302.329987,290.489990,293.959991,293.959991,635000
2023-01-31,293.959991,302.570007,290.480011,302.440002,302.440002,738400
2023-02-01,300.690002,318.540009,298.799988,313.380005,313.380005,1176900
2023-02-02,322.970001,348.059998,321.649994,333.500000,333.500000,2127300
2023-02-03,320.769989,335.079987,315.730011,323.209991,323.209991,903700
2023-02-06,316.399994,320.970001,313.529999,316.130005,316.130005,607800
2023-02-07,312.890015,324.459991,309.350006,323.350006,323.350006,568600
2023-02-08,322.850006,325.910004,319.040009,320.399994,320.399994,500500
2023-02-09,324.929993,326.149994,313.549988,315.890015,315.890015,746100
2023-02-10,310.579987,316.480011,308.089996,310.029999,310.029999,605000
2023-02-13,308.700012,311.700012,304.459991,311.559998,311.559998,558700
2023-02-14,309.799988,317.500000,303.089996,310.769989,310.769989,641900
2023-02-15,308.959991,318.260010,307.269989,316.750000,316.750000,477500
2023-02-16,308.369995,310.600006,301.820007,301.929993,301.929993,450000
2023-02-17,298.429993,299.959991,286.049988,292.790009,292.790009,1338700
2023-02-21,287.250000,290.269989,280.079987,285.709991,285.709991,586300
2023-02-22,285.470001,291.209991,280.799988,287.549988,287.549988,855000
2023-02-23,290.589996,291.299988,282.049988,289.010010,289.010010,619100
2023-02-24,281.000000,284.519989,278.380005,282.920013,282.920013,649100
2023-02-27,287.589996,289.529999,283.959991,285.929993,285.929993,583900
2023-02-28,288.500000,293.660004,286.089996,288.109985,288.109985,573200
2023-03-01,284.640015,286.970001,280.089996,283.029999,283.029999,393400
2023-03-02,276.390015,278.329987,269.429993,277.170013,277.170013,746600
2023-03-03,280.339996,285.500000,277.859985,284.410004,284.410004,357200
2023-03-06,284.829987,286.519989,280.640015,283.040009,283.040009,542200
2023-03-07,280.390015,283.079987,267.070007,267.390015,267.390015,830500
2023-03-08,266.859985,271.010010,264.000000,267.829987,267.829987,835200
2023-03-09,176.550003,177.750000,100.000000,106.040001,106.040001,38746500
2023-03-10,106.040001,106.040001,106.040001,106.040001,106.040001,0
